ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45654403,553112,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6,Automatic,4x4,4-May,Left wheel,Silver,12
44731507,689771.5,1018,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000 km,6,Tiptronic,4x4,4-May,Left wheel,Black,8
45774419,351380.5,-,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000 km,4,Variator,Front,4-May,Right-hand drive,Black,2
45769185,149690.5,862,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966 km,4,Automatic,4x4,4-May,Left wheel,White,0
45809263,486629,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45802912,1638959.5,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,160931 km,4,Automatic,Front,4-May,Left wheel,White,4
45656768,74824.5,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909 km,4,Automatic,Front,4-May,Left wheel,White,12
45816158,22783.5,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118 km,4,Automatic,Front,4-May,Left wheel,Grey,12
45641395,45567,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4,Automatic,Front,4-May,Left wheel,Black,12
45756839,1106265.5,-,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500 km,6,Automatic,4x4,4-May,Left wheel,Silver,12
45621750,39051.5,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467 km,6,Automatic,Rear,4-May,Left wheel,White,12
45814819,364411.5,-,FORD,Transit,1999,Microbus,No,CNG,4,0 km,8,Manual,Rear,2-Mar,Left wheel,Blue,0
45815568,124500,-,OPEL,Vectra,1997,Goods wagon,No,CNG,1.6,350000 km,4,Manual,Front,4-May,Left wheel,White,4
45661288,42288.5,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6,Automatic,Front,4-May,Left wheel,White,12
45732604,2467756,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,76000 km,4,Automatic,Front,4-May,Left wheel,White,4
45465200,22783.5,1079,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,74146 km,4,Automatic,Front,4-May,Left wheel,White,12
45772281,318844.5,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840 km,4,Automatic,Front,4-May,Left wheel,Blue,12
45797221,1177853,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317 km,4,Automatic,Front,4-May,Left wheel,White,4
45772104,22783.5,2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059 km,6,Automatic,Rear,4-May,Left wheel,Blue,12
45653306,39051.5,1850,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523 km,6,Automatic,4x4,4-May,Left wheel,Black,12
45801686,781279,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45168471,858967,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000 km,4,Automatic,Front,4-May,Left wheel,White,12
45751951,728823,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709 km,4,Automatic,Front,4-May,Left wheel,Black,12
45814106,325360,-,FORD,Transit,2001,Microbus,No,Diesel,2.0 Turbo,230000 km,4,Manual,Front,2-Mar,Left wheel,White,0
45813492,195216,-,OPEL,Vectra,1995,Sedan,No,Petrol,1.8,0 km,4,Automatic,Front,4-May,Left wheel,Green,4
45782859,845977.5,-,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2 Turbo,210000 km,4,Tiptronic,Rear,4-May,Left wheel,Black,8
45759112,22783.5,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0 km,8,Automatic,4x4,4-May,Left wheel,White,0
45804684,1245,-,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,169000 km,4,Automatic,Front,4-May,Left wheel,White,8
45801525,599841,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45768550,501071,1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550 km,6,Automatic,4x4,4-May,Left wheel,Blue,12
44944581,650761.5,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0 Turbo,180000 km,6,Manual,Rear,4-May,Left wheel,White,4
45760983,806926,915,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056 km,6,Automatic,4x4,4-May,Left wheel,White,12
45790136,286308.5,-,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000 km,8,Automatic,4x4,4-May,Left wheel,Silver,6
45770026,5187.5,1750,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274 km,6,Automatic,4x4,4-May,Left wheel,White,12
45542380,1015173,-,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0 Turbo,250000 km,6,Tiptronic,4x4,4-May,Left wheel,Black,10
45732374,964252.5,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000 km,4,Automatic,Front,4-May,Left wheel,Grey,4
45369569,2147459,1077,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2,10200 km,4,Tiptronic,Front,4-May,Left wheel,Red,12
